Price,Close,High,Low,Open,Volume
Ticker,GME,GME,GME,GME,GME
Date,,,,,
2020-11-02,2.6875,2.7725000381469727,2.625,2.7049999237060547,20908000
2020-11-03,2.8924999237060547,2.9649999141693115,2.6575000286102295,2.6875,29818000
2020-11-04,2.7274999618530273,2.942500114440918,2.6524999141693115,2.940000057220459,23231600
2020-11-05,2.862499952316284,2.9600000381469727,2.765000104904175,2.817500114440918,18820800
2020-11-06,2.9649999141693115,3.0425000190734863,2.8299999237060547,2.880000114440918,22072800
2020-11-09,2.872499942779541,3.2325000762939453,2.8125,3.190000057220459,24979600
2020-11-10,2.7750000953674316,2.9149999618530273,2.7074999809265137,2.875,15304000
2020-11-11,2.9375,2.987499952316284,2.802500009536743,2.875,19530400
2020-11-12,2.7825000286102295,2.9674999713897705,2.742500066757202,2.934999942779541,17413200
2020-11-13,2.752500057220459,2.887500047683716,2.75,2.8399999141693115,14143600
2020-11-16,3.015000104904175,3.1649999618530273,2.680000066757202,2.7899999618530273,39099200
2020-11-17,2.9075000286102295,2.9800000190734863,2.807499885559082,2.9124999046325684,26712800
2020-11-18,2.8924999237060547,3.009999990463257,2.890000104904175,2.950000047683716,12676800
2020-11-19,3.115000009536743,3.197499990463257,2.862499952316284,2.9000000953674316,47150400
2020-11-20,3.177500009536743,3.365000009536743,3.134999990463257,3.137500047683716,33581600
2020-11-23,3.4749999046325684,3.5299999713897705,3.1675000190734863,3.2249999046325684,38396400
2020-11-24,3.4175000190734863,3.565000057220459,3.325000047683716,3.557499885559082,28732800
2020-11-25,3.6875,3.8125,3.3550000190734863,3.4000000953674316,35440400
2020-11-27,4.019999980926514,4.184999942779541,3.7200000286102295,3.822499990463257,50016800
2020-11-30,4.139999866485596,4.855000019073486,4.139999866485596,4.542500019073486,127934000
2020-12-01,3.950000047683716,4.349999904632568,3.940000057220459,4.277500152587891,50615600
2020-12-02,4.144999980926514,4.170000076293945,3.8450000286102295,3.924999952316284,31533600
2020-12-03,4.03000020980835,4.159999847412109,3.9674999713897705,4.119999885559082,25180000
2020-12-04,4.224999904632568,4.322500228881836,4.065000057220459,4.074999809265137,35890800
2020-12-07,4.087500095367432,4.375,4.054999828338623,4.25,29545200
2020-12-08,4.235000133514404,4.302499771118164,3.9825000762939453,4.09250020980835,64480800
2020-12-09,3.4149999618530273,3.682499885559082,3.307499885559082,3.4800000190734863,97431600
2020-12-10,3.5299999713897705,3.6024999618530273,3.262500047683716,3.2799999713897705,30235600
2020-12-11,3.327500104904175,3.5,3.255000114440918,3.4774999618530273,29987600
2020-12-14,3.180000066757202,3.3575000762939453,3.0350000858306885,3.3350000381469727,40028400
2020-12-15,3.4625000953674316,3.505000114440918,3.119999885559082,3.194999933242798,32759200
2020-12-16,3.4625000953674316,3.577500104904175,3.3949999809265137,3.490000009536743,23460400
2020-12-17,3.7074999809265137,3.744999885559082,3.3975000381469727,3.490000009536743,32779600
2020-12-18,3.9075000286102295,4.074999809265137,3.7950000762939453,3.944999933242798,66475200
2020-12-21,3.882499933242798,4.087500095367432,3.819999933242798,3.952500104904175,39504400
2020-12-22,4.864999771118164,5.010000228881836,4.037499904632568,4.054999828338623,122610800
2020-12-23,5.142499923706055,5.587500095367432,4.78249979019165,5.042500019073486,103321200
