Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2017-01-03,40.069332122802734,40.239423677634676,39.517889982538364,39.70285797471264,39180000
2017-01-04,40.05742263793945,40.33810373386275,39.87592407978732,40.16255272289262,30306000
2017-01-05,40.31777572631836,40.35347993020166,39.96568619388392,40.04403719083414,26810000
2017-01-06,40.92227554321289,41.10823854216271,40.24239372942542,40.415462809502735,40342000
2017-01-09,41.01996994018555,41.18113636918223,40.744248904466446,40.979801294318186,28178000
2017-01-10,40.961944580078125,41.13055299904202,40.81962341108531,41.01451151316652,23948000
2017-01-11,41.15287780761719,41.15486032379227,40.73681803422399,40.99220697859547,26508000
2017-01-12,41.13650894165039,41.178660105260526,40.713998480740365,41.07947755844788,26990000
2017-01-13,41.20642852783203,41.390405238780495,41.13601138212753,41.20940230155456,25804000
2017-01-17,41.03385925292969,41.168742227228606,40.82260401083469,41.15981712172326,28818000
2017-01-18,41.111209869384766,41.150387252594804,40.86623299223846,41.1498916237005,20554000
2017-01-19,40.88062286376953,41.308589050350946,40.86029450774119,41.11022772926218,21410000
2017-01-20,41.069068908691406,41.122131480968704,40.89203098037969,41.114689478853236,26124000
2017-01-23,41.875396728515625,41.930441806841365,41.09534489891301,41.23965236867042,49148000
2017-01-24,42.12831115722656,42.2269942903419,41.768779631954004,42.00185388462575,33768000
2017-01-25,42.570655822753906,42.58751477519403,42.13872461845083,42.32766519877117,33108000
2017-01-26,42.49775314331055,42.69710569891243,42.17740280667008,42.600405086499904,69866000
2017-01-27,41.9051513671875,42.99464594752585,41.74993627105297,42.59792713374453,75050000
2017-01-30,40.853851318359375,41.51835745440374,40.71499573238062,41.50992797712627,70338000
2017-01-31,40.67333221435547,40.81615280472264,40.33661476749601,40.63911489947876,40404000
2017-02-01,40.4278678894043,40.862277255504374,40.279591580894134,40.862277255504374,45020000
2017-02-02,40.57762145996094,40.89004172708558,40.26966942011146,40.415959408106055,33784000
2017-02-03,40.67035675048828,40.967896797151255,40.63167499321704,40.81912866553325,30562000
2017-02-06,40.74424743652344,40.78242978177051,40.38075090442297,40.70953449383201,27018000
2017-02-07,41.12162780761719,41.25502766801395,40.82706529787356,40.93665983419373,33332000
2017-02-08,41.15385818481445,41.37056908933532,40.917314556930776,41.18609298127595,26044000
2017-02-09,41.16279602050781,41.25800976917732,40.98625748730158,41.24561147567061,23884000
2017-02-10,41.40032958984375,41.514384795626334,41.18510931581262,41.30610711108008,28302000
