Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2017-01-03,89.82245635986328,89.94652336963179,89.34946715368257,89.7759341891204,5953000
2017-01-04,89.6751708984375,90.12490511923298,89.41153135265142,89.5588595081155,5828900
2017-01-05,90.61339569091797,90.69869030652613,89.5123272732303,89.94655010480461,6217200
2017-01-06,90.1791763305664,90.72195489092722,89.76045890578409,90.46607103425315,5221400
2017-01-09,90.16366577148438,90.41954963037284,89.8612597258317,90.21794362799017,5457500
2017-01-10,90.07060241699219,90.7219365578033,89.84573536861461,89.96979647912278,5312800
2017-01-11,88.96177673339844,90.14038388095777,88.41123670977655,90.00856710497678,8887200
2017-01-12,88.87649536132812,88.96178997397327,87.90724377748995,88.6051001851797,6627300
2017-01-13,88.8609619140625,89.1866289454024,88.73690081843617,89.1246013555096,4935200
2017-01-17,89.07032775878906,89.20990019541605,88.1398428759955,88.34920448885647,6255400
2017-01-18,88.93850708007812,89.24866871467238,88.71364595873445,89.07032976797345,5014600
2017-01-19,88.55082702636719,89.0936114915898,88.33371560661516,88.92302225725818,5540800
2017-01-20,88.51203918457031,89.19439004165012,88.45776134270989,88.7756727262235,7502400
2017-01-23,88.3259506225586,88.99279019002167,88.24065602010046,88.79119014406743,7989800
2017-01-24,86.65882110595703,87.85293940669774,86.18582600255192,87.55053347708994,12450300
2017-01-25,87.46525573730469,87.46525573730469,85.88343661537556,86.79065457894268,9385500
2017-01-26,86.72087860107422,87.49627990150947,86.53478394540564,86.84494564874822,10164300
2017-01-27,87.91498565673828,88.03905268796188,86.76739519712828,86.8449341337222,8886100
2017-01-30,87.72113800048828,88.08557752088657,87.50402660514678,87.93049964302604,6969400
2017-01-31,87.8141860961914,87.9304974596196,87.17835734740453,87.45750225329552,8713400
2017-02-01,87.79867553710938,87.86845880157753,87.20936900184358,87.21712466984272,7082300
2017-02-02,88.06230163574219,88.10107405661422,87.44197839683476,87.48075081770678,7826300
2017-02-03,88.11656951904297,88.13208085197547,87.35667984887525,88.00801385187616,7267600
2017-02-06,87.93049621582031,88.07781841929321,87.32568423355896,87.97701839419685,6178400
2017-02-07,87.9925308227539,88.10108651754058,87.65910806995433,88.08557518066154,5507900
2017-02-08,87.93049621582031,88.1553632710429,87.73664591812928,87.85295727991222,5272000
2017-02-09,88.45775604248047,88.89973441853029,87.93048307492624,87.93048307492624,5854600
2017-02-10,89.3572006225586,89.93875131423896,88.57404995050018,88.64383319389884,6438500
2017-02-13,89.85350799560547,90.03960858250699,89.34174617123365,89.38826836003756,5710800
2017-02-14,90.22567749023438,90.25669424586134,89.41925959145713,89.51230985833801,5539100
2017-02-15,90.87699890136719,91.07860482682642,89.6286027622211,89.86898110575187,5979700
2017-02-16,91.55936431884766,91.71444217422375,90.72192970179846,90.72192970179846,7119300
2017-02-17,92.16419219970703,92.1952089593225,91.53611908605919,91.64467478679234,8691400
2017-02-21,92.78448486328125,92.96282377726564,91.7454444653686,91.80747796407624,8595100
2017-02-22,92.67593383789062,92.86978410655038,92.46657815070799,92.48983923641265,5103900
2017-02-23,94.36632537841797,94.52140917072461,92.64493965262766,92.67595049524719,9980900
2017-02-24,95.79468536376953,95.80248639539609,94.36631051796128,94.8346284799515,10835000
2017-02-27,95.53712463378906,95.91177668504652,95.30296263551293,95.32637764434314,5946200
2017-02-28,95.38882446289062,95.73226048253689,95.17808342219044,95.23272042940805,8885500
2017-03-01,96.67668914794922,97.13720014646049,95.55272121872183,95.60735821778225,9393900
2017-03-02,96.4971694946289,97.06696047764797,96.02104449586939,96.59083547888845,6950200
2017-03-03,96.6220703125,96.73134433116286,96.18497423784856,96.4971823168925,5585200
2017-03-06,96.55963134765625,97.12161544720736,95.69324018667956,96.01326122586362,6670700
2017-03-07,96.65330505371094,97.14503820252155,95.5293367650145,95.67763979060311,6644000
2017-03-08,96.864013671875,97.31672363145417,96.39569569351106,96.59082868074488,7909900
2017-03-09,98.3080062866211,98.51094628076483,96.91866023322497,97.2386812222588,8571100
2017-03-10,98.51094055175781,98.7294885535165,97.98798555398,98.37825154425951,7395400
2017-03-13,98.87776184082031,99.0885027920883,98.18308906314321,98.21431104758747,7162500
2017-03-14,99.16659545898438,99.712965490637,98.9480414913366,99.01829246968435,7679700
2017-03-15,100.65740966796875,100.68862570686963,98.81534775853524,99.1665907235278,8360600
2017-03-16,100.26713562011719,100.45445565841658,99.72856073507664,100.25152164693493,7610700
2017-03-17,99.9549331665039,100.64180518684323,99.86907416396149,100.25934019188628,13300800
