Close,High,Low,Open,Volume,MA_short,MA_long,RSI,Signal,Position,Returns,Strategy_Returns,Equity
NFLX,NFLX,NFLX,NFLX,NFLX,,,,,,,,
32.98099899291992,32.99800109863281,32.47800064086914,32.61000061035156,44858000,,,,0.0,0.0,0.0,0.0,25000.0
32.59000015258789,32.986000061035156,32.553001403808594,32.678001403808594,38069000,,,,0.0,0.0,-0.011855275833699497,-0.0,25000.0
33.58300018310547,33.63600158691406,32.119998931884766,32.3120002746582,56631000,,,,0.0,0.0,0.030469469956069473,0.0,25000.0
33.07500076293945,33.66999816894531,33.029998779296875,33.64699935913086,47032000,,,,0.0,0.0,-0.01512668366126424,-0.0,25000.0
33.92599868774414,34.27000045776367,33.10499954223633,33.14899826049805,71045000,,,,0.0,0.0,0.025729339536651796,0.0,25000.0
33.566001892089844,34.34199905395508,33.46099853515625,34.20000076293945,47093000,,,,0.0,0.0,-0.010611236502356736,-0.0,25000.0
32.904998779296875,33.849998474121094,32.72700119018555,33.7130012512207,47183000,,,,0.0,0.0,-0.019692637655148948,-0.0,25000.0
33.891998291015625,34.084999084472656,33.1510009765625,33.18000030517578,62900000,,,,0.0,0.0,0.02999542769592045,0.0,25000.0
33.86899948120117,34.53799819946289,33.551998138427734,34.439998626708984,71994000,,,,0.0,0.0,-0.0006785911416898882,-0.0,25000.0
33.90700149536133,34.31700134277344,33.65999984741211,33.86800003051758,51580000,,,,0.0,0.0,0.001122029429338367,0.0,25000.0
33.86199951171875,34.35599899291992,33.584999084472656,34.349998474121094,50160000,,,,0.0,0.0,-0.001327218027484256,-0.0,25000.0
33.96699905395508,34.15700149536133,33.737998962402344,34.099998474121094,60665000,,,,0.0,0.0,0.003100807505475034,0.0,25000.0
33.81100082397461,34.099998474121094,33.25899887084961,34.0,143503000,,,,0.0,0.0,-0.004592640925760727,-0.0,25000.0
32.599998474121094,33.630001068115234,32.36000061035156,33.255001068115234,217300000,,,,0.0,0.0,-0.035816814656217444,-0.0,25000.0
34.959999084472656,34.987998962402344,32.500999450683594,32.604000091552734,182003000,,,,0.0,0.0,0.07239266014766854,0.0,25000.0
35.316001892089844,35.98500061035156,34.5880012512207,34.84600067138672,179397000,,,,0.0,0.0,0.010183146937646992,0.0,25000.0
34.28799819946289,35.189998626708984,34.10200119018555,34.595001220703125,77095000,,,,0.0,0.0,-0.029108722322761182,-0.0,25000.0
34.85200119018555,35.2400016784668,34.27799987792969,34.5880012512207,68216000,,,,0.0,0.0,0.01644899149380752,0.0,25000.0
34.316001892089844,34.939998626708984,33.85499954223633,34.900001525878906,76435000,,,,0.0,0.0,-0.015379297595302543,-0.0,25000.0
34.77399826049805,34.81999969482422,33.92499923706055,34.11000061035156,53281000,,,,0.0,0.0,0.013346437322401927,0.0,25000.0
34.50899887084961,34.73899841308594,34.097999572753906,34.73899841308594,52300000,,,,0.0,0.0,-0.007620618936691748,-0.0,25000.0
35.79999923706055,35.9630012512207,34.62799835205078,34.7239990234375,66706000,,,62.18753231858966,0.0,0.0,0.03741054242235542,0.0,25000.0
