Close,High,Low,Open,Volume,MA_short,MA_long,RSI,Signal,Buy_Trigger,Position,Returns,Strategy_Returns,Equity
438.0700073242188,458.3399963378906,435.2999877929688,457.7999877929688,85535400,464.26700286865236,445.012001953125,42.42812875927884,0.0,False,0.0,0.0,0.0,10000.0
451.6700134277344,457.5499877929688,444.5700073242188,447.989990234375,67940800,464.1240036010742,445.2660021972656,48.371381617993414,0.0,False,0.0,0.031045280151877908,0.0,10000.0
432.9599914550781,448.25,428.7799987792969,446.3800048828125,89093800,463.0220031738281,444.94560180664064,41.95465041798357,0.0,False,0.0,-0.041424095947095174,-0.0,10000.0
431.4100036621094,438.3699951171875,431.2900085449219,435.8999938964844,59828800,462.61350402832034,444.89940185546874,41.46392960638914,0.0,False,0.0,-0.0035799792672750463,-0.0,10000.0
435.7999877929688,436.8900146484375,424.3699951171875,427.8900146484375,57041100,462.145002746582,444.56700134277344,43.480314623145794,0.0,False,0.0,0.01017589785492734,0.0,10000.0
445.010009765625,449.0499877929688,430.3900146484375,435.9500122070313,67331500,461.82300262451173,444.2562017822266,47.56146717457722,0.0,False,0.0,0.02113359850994656,0.0,10000.0
448.9599914550781,454.2999877929688,438.0,441.2300109863281,61649600,461.92650146484374,444.0052014160156,49.253875198963996,0.0,False,0.0,0.00887616368794375,0.0,10000.0
447.2000122070313,451.80999755859375,443.9500122070313,450.2000122070313,53719200,461.33850250244143,444.14720153808594,48.50274025354508,0.0,False,0.0,-0.003920124914344236,-0.0,10000.0
439.2000122070313,443.9100036621094,434.2200012207031,442.80999755859375,57259500,459.53300323486326,443.8000018310547,45.13341540853705,0.0,False,0.0,-0.017889087168218576,-0.0,10000.0
438.5700073242188,445.3599853515625,437.6499938964844,441.1300048828125,49465800,456.9675033569336,443.2040020751953,44.869075738101174,0.0,False,0.0,-0.0014344373071545347,-0.0,10000.0
437.5,447.25,435.260009765625,439.5,60220600,455.47950286865233,443.0688018798828,44.39350936208571,0.0,False,0.0,-0.0024397640202235005,-0.0,10000.0
419.25,430.7300109863281,417.4400024414063,429.3599853515625,63187300,452.273503112793,442.21240173339845,37.159282290194895,0.0,False,0.0,-0.041714285714285704,-0.0,10000.0
431.4400024414063,438.2000122070313,419.6199951171875,421.6600036621094,68124000,449.7855026245117,441.9230017089844,43.752555355701524,1.0,True,0.0,0.02907573629435012,0.0,10000.0
449.3599853515625,449.5,432.6300048828125,435.1600036621094,71546700,447.81700134277344,442.3198016357422,51.7646147435014,1.0,False,1.0,0.041535283721378935,0.041535283721378935,10415.35283721379
449.05999755859375,452.4299926757813,444.0400085449219,447.4299926757813,56771400,445.99200134277345,442.3964013671875,51.63202461455159,1.0,False,1.0,-0.0006675890216037983,-0.0006675890216037983,10408.399662003536
435.2000122070313,445.0400085449219,434.2799987792969,445.0,49397400,443.4820022583008,442.30800170898436,45.795612496415394,1.0,False,1.0,-0.030864440001146964,-0.030864440001146964,10087.150235127669
430.8999938964844,437.5199890136719,430.6900024414063,437.4100036621094,37733100,441.2675018310547,442.3140014648437,44.128968698712384,0.0,False,1.0,-0.009880556502607218,-0.009880556502607218,9987.483577279203
431.4599914550781,438.260009765625,430.1000061035156,431.9100036621094,54857400,439.8585006713867,442.9034014892578,44.41269204456472,0.0,False,0.0,0.0012995998294869082,0.0,9987.483577279203
416.55999755859375,440.2300109863281,414.6199951171875,437.7999877929688,81686100,437.96500091552736,443.14760131835936,38.77110601399654,0.0,False,0.0,-0.03453389466363932,-0.0,9987.483577279203
430.4100036621094,439.8800048828125,422.7000122070313,425.3500061035156,82626100,436.99950103759767,443.57740112304685,45.67850282356139,0.0,False,0.0,0.033248526466028494,0.0,9987.483577279203
