dis,Portfolio_Equity
23590.04643686385,23590.04643686385
23440.195172365955,23440.195172365955
23356.188473999482,23356.188473999482
23040.595446653893,23040.595446653893
23011.080614416063,23011.080614416063
23117.790889646934,23117.790889646934
22840.797406939026,22840.797406939026
22373.079658069135,22373.079658069135
22852.14828380064,22852.14828380064
22559.258833319454,22559.258833319454
22373.07965806913,22373.07965806913
22804.467673045434,22804.467673045434
22400.326502704036,22400.326502704036
22572.879520925166,22572.879520925166
22920.26448381731,22920.26448381731
23183.635455778345,23183.635455778345
22784.03208378397,22784.03208378397
22636.452453171325,22636.452453171325
23015.62023590424,23015.62023590424
22886.204560667815,22886.204560667815
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22793.11497304265,22793.11497304265
22805.3318077732,22805.3318077732
22791.07775259369,22791.07775259369
