Close,High,Low,Open,Volume,MA_short,MA_long,Signal,Position,Returns,Strategy_Returns,Equity
AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
178.10366821289062,178.9550062933326,173.89596741451703,174.0133871781769,104487900,,,0,0.0,0.0,0.0,10000.0
175.8432159423828,179.01368336177322,175.2756623032222,178.7103390737201,99310400,,,0,0.0,-0.01269177829513235,-0.0,10000.0
171.16583251953125,176.3031560396219,170.89184312629723,175.7551772531539,94537600,,,0,0.0,-0.02659973771398816,-0.0,10000.0
168.3085174560547,171.53769548653034,167.95624321761545,168.99349099432447,96904000,,,0,0.0,-0.016693256016211744,-0.0,10000.0
168.474853515625,170.40257420223315,167.35932100577125,169.17940193566972,86709100,,,0,0.0,0.000988280700729982,0.0,10000.0
168.49441528320312,168.79775959259328,164.5606894006289,165.45116232460057,106765600,,,0,0.0,0.00011611090420871051,0.0,10000.0
171.32240295410156,171.4202477771128,167.15383722500894,168.62164395189677,76138300,171.67327226911272,,0,0.0,0.0167838658993249,0.0,10000.0
171.76272583007812,173.37730710526796,171.06797240622825,172.34005950483805,74805200,170.76742335728235,,0,0.0,0.0025701418400869702,0.0,10000.0
168.49441528320312,172.82933029006384,168.10299122971512,172.0073621746904,84505800,169.71759469168526,,0,0.0,-0.01902805472537905,-0.0,10000.0
169.3555450439453,170.05029852382498,167.4180294399018,167.66266389110206,80440800,169.45898219517298,,0,0.0,0.005110731766953869,0.0,10000.0
166.1557159423828,168.83689986985863,165.77408681023036,167.82900716362772,90956700,169.1514391217913,,0,0.0,-0.01889415017814855,-0.0,10000.0
162.66232299804688,167.40823697043027,162.3785536255594,166.35141442818917,94815000,168.32107761928015,,0,0.0,-0.021024813528216724,-0.0,10000.0
160.979248046875,166.03828667936338,160.65632878123083,163.3962376065405,91420500,167.2474822998047,,0,0.0,-0.010347048536815007,-0.0,10000.0
158.92433166503906,162.76019814543096,158.81669190708894,160.89118731707072,122848900,165.47632925851005,,0,0.0,-0.012765101134262768,-0.0,10000.0
158.15126037597656,158.8166737850042,151.37978119467465,156.58560899416545,162294600,163.5318341936384,,0,0.0,-0.004864398553469318,-0.0,10000.0
156.3507843017578,159.26682305990172,153.65002507588994,155.56795099632697,115798400,161.79702976771765,,0,0.0,-0.011384519288296757,-0.0,10000.0
156.26271057128906,160.8618354481178,154.43284958250229,159.99093736491258,108275300,159.92662484305245,,0,0.0,-0.0005633085299960872,-0.0,10000.0
155.8028106689453,160.32365113506773,154.88298262420264,158.96348400735147,121954600,158.44763837541853,,0,0.0,-0.0029431199590892465,-0.0,10000.0
166.67434692382812,166.69392186078738,159.30595841103175,162.15350702087153,179935700,159.02078465053015,,0,0.0,0.06977753615743798,0.0,10000.0
171.02883911132812,171.24411862639118,165.87194061535732,166.5079991576081,115541600,160.45644051688058,,0,0.0,0.026125749210165194,0.0,10000.0
170.86248779296875,171.08754730875657,168.61184784118433,170.2753591337895,86213900,162.1618913922991,,0,0.0,-0.0009726506899289111,-0.0,10000.0
172.06610107421875,172.10525095182186,169.6099763158955,170.99949834473722,84914300,164.14972577776228,,0,0.0,0.007044338969876218,0.0,10000.0
169.18917846679688,172.45750604377838,168.4259201826274,170.73526997176376,89418100,165.98378208705358,,0,0.0,-0.016719868640371782,-0.0,10000.0
168.90505981445312,170.580497991328,167.22962163757825,168.20940619823992,82465400,167.78983197893416,,0,0.0,-0.0016792956554222416,-0.0,10000.0
168.18983459472656,170.43353483823722,167.49418092340588,169.36557317059368,77251200,169.55940682547433,,0,0.0,-0.0042344807225564995,-0.0,10000.0
171.29571533203125,171.80520742660315,167.96443926792173,168.25837758980256,74829200,170.21960231236048,,0,0.0,0.01846651876903671,0.0,10000.0
172.71641540527344,173.07893089654075,171.36430797248656,172.49106914991745,71285000,170.46068464006697,,0,0.0,0.008293844772990111,0.0,10000.0
168.64051818847656,171.93259499604034,168.08204874852603,170.61968723864308,90865900,170.1432604108538,,0,0.0,-0.02359878305274521,-0.0,10000.0
165.2309112548828,169.5811582426831,164.64303438343364,168.84631962853655,98670700,169.16680472237724,,0,0.0,-0.02021819530809965,-0.0,10000.0
165.46603393554688,166.15188018995096,163.19292640629095,163.98654956855333,86185500,168.63492693219865,167.22934061686198,1,0.0,0.001422994516451892,0.0,10000.0
169.29696655273438,169.45373566949445,166.80832036305304,167.5137664381475,62527400,168.690913609096,166.93578389485677,1,1.0,0.023152380739842604,0.023152380739842604,10231.523807398426
169.0618133544922,169.83583650795123,166.612352178537,168.37596721528965,61177400,168.81548200334822,166.7097371419271,1,1.0,-0.001388998297077837,-0.001388998297077837,10217.312238253438
165.46603393554688,168.4347801834387,165.06431864713625,167.57256492057238,69589300,167.982670375279,166.51974385579427,1,1.0,-0.021269021948827738,-0.021269021948827738,9999.999999999998
163.91796875,167.0924613280084,162.83040723152354,166.3870301609273,82772700,166.72574942452567,166.3733922322591,1,1.0,-0.009355788307284119,-0.009355788307284119,9906.442116927157
160.99819946289062,163.32028399061443,158.87205389872815,161.64484588368407,91162800,165.63398960658483,166.1241704305013,-1,1.0,-0.01781238084741321,-0.01781238084741321,9729.984797097597
156.83412170410156,162.7911986729469,156.52058346872764,162.19352949330056,90009200,164.4344482421875,165.7354939778646,-1,-1.0,-0.025864126261541553,0.025864126261541553,9981.64235241261
159.4501495361328,159.5579264390306,148.9272576589058,149.49553451506446,141147500,163.57503618512834,165.33975219726562,-1,-1.0,0.0166802211381456,-0.0166802211381456,9815.146350652487
161.51747131347656,161.78200234869726,157.61791846840168,160.5278794584224,91974200,162.46367972237724,164.9982437133789,-1,-1.0,0.012965317269114651,-0.012965317269114651,9687.889864173485
161.78201293945312,162.07595128148682,159.14639022474867,159.76365924798694,95056600,161.42370823451452,164.77449696858724,-1,-1.0,0.0016378514585777548,-0.0016378514585777548,9672.022539628908
159.9008331298828,163.23210951924372,158.69570233786408,161.37050993245586,83474400,160.62867954799108,164.45933990478517,-1,-1.0,-0.011627867495222377,0.011627867495222377,9784.487536130517
163.19293212890625,163.97676285442304,159.6559088746692,161.06680119053394,79724800,160.52510288783483,164.36058044433594,-1,-1.0,0.02058837927598134,-0.02058837927598134,9583.04079571555
162.86959838867188,165.4954290281514,162.20335200198932,165.06432138955572,76678400,160.79244559151786,164.36748962402345,-1,-1.0,-0.0019812974496896674,0.0019812974496896674,9602.027650004373
159.87144470214844,162.20333673673338,158.82308299816066,161.16476749621853,83737200,161.22634887695312,164.3305628458659,-1,-1.0,-0.018408307727072803,0.018408307727072803,9778.784729789513
156.07968139648438,161.6840502038395,155.82492784594277,160.05760426701897,96418800,160.74485342843192,164.2357411702474,-1,-1.0,-0.023717577036526993,0.023717577036526993,10010.713809941912
154.25730895996094,159.58734023748997,152.65046261455836,155.60941665986704,131148300,159.7076873779297,164.10594278971354,-1,-1.0,-0.011675910792604216,0.011675910792604216,10127.598011357086
159.65591430664062,160.10662184800367,156.18748303740642,158.2156295977199,91454900,159.4039590018136,164.2161137898763,-1,-1.0,0.03499740390311712,-0.03499740390311712,9773.158373185217
155.31544494628906,157.14763719865718,152.82678391494153,156.9614757494235,105342000,158.74890354701452,164.18453826904297,-1,-1.0,-0.027186398820247315,0.027186398820247315,10038.85535445207
151.60205078125,156.06007322521145,151.37670453340775,155.71714267170483,96970100,157.0930633544922,164.0445129394531,-1,-1.0,-0.023908724379106183,0.023908724379106183,10278.871580203377
147.57513427734375,151.0043799732345,147.06565710961667,148.38835719355112,108732100,154.90813991001673,163.40787251790366,-1,-1.0,-0.026562414447260818,0.026562414447260818,10551.903227166908
151.9547882080078,152.4250955746164,147.34001116939965,147.8494883910694,92964300,153.77718898228235,162.7720708211263,-1,-1.0,0.029677451774722474,-0.029677451774722474,10238.749628011123
156.3638153076172,156.76553056777536,151.3375306500096,153.8751690879972,102300200,153.81777954101562,162.28878173828124,-1,-1.0,0.029015387745294108,-0.029015387745294108,9941.668337527395
157.37298583984375,157.7453087439647,154.44343967423552,155.40362432397723,75615400,154.26287623814173,161.79901123046875,-1,-1.0,0.0064539902038154295,-0.0064539902038154295,9877.504907467412
160.66505432128906,161.1549465596943,156.53036263312293,157.2652009907308,123511700,154.40703909737724,161.51487375895184,-1,-1.0,0.02091889191703844,-0.02091889191703844,9670.878449898084
162.03680419921875,162.9871965878479,159.7147042118935,160.20459657921455,95811400,155.3672332763672,161.2859319051107,-1,-1.0,0.008537947992016681,-0.008537947992016681,9588.308992655739
165.40725708007812,165.99511891868582,161.57629538795769,162.16415722656538,81532000,157.3394056047712,161.19317932128905,-1,-1.0,0.02080053909675672,-0.02080053909675672,9388.86699658222
166.76913452148438,169.15000379737148,164.2608735199057,164.5940116285297,98062700,160.08140563964844,161.04229329427082,-1,-1.0,0.0082334805947899,-0.0082334805947899,9311.563942358796
170.55111694335938,170.61969409297694,166.769147690774,167.60195565228418,90131400,162.73802403041296,160.9701166788737,1,-1.0,0.022677951964713117,-0.022677951964713117,9100.396742557628
171.18797302246094,171.7366500272882,169.25779609098333,170.36495751522006,80546200,164.8557608468192,161.0550318400065,1,1.0,0.003734106762332434,0.003734106762332434,9134.37859557392
172.05018615722656,172.17754799227433,168.5229555265403,168.6895171187773,90371900,166.95250374930245,161.28234100341797,1,1.0,0.005036645504602699,0.005036645504602699,9180.385222464658
175.34225463867188,175.39123190730578,172.77520887835874,173.11813946075333,100589400,169.04924665178572,161.6115483601888,1,1.0,0.019134350011321022,0.019134350011321022,9356.045926550056
174.17628479003906,175.97908457885987,173.12790825883917,174.9405154603071,92633200,170.78345816476005,161.7741923014323,1,1.0,-0.006649679799290431,-0.006649679799290431,9293.831216951041
171.0802001953125,174.43106194071976,170.87443883843048,174.24490046314256,103049300,171.59387860979353,161.84147186279296,1,1.0,-0.017775580633487165,-0.017775580633487165,9128.627970760108
170.78623962402344,171.34472398421482,168.46415506398156,170.5119011506989,78751300,172.1677507672991,162.01881205240886,1,1.0,-0.0017182617915659781,-0.0017182617915659781,9112.942598108531
174.83274841308594,174.8817406281064,170.9136104166494,171.0409871856376,76468400,172.77941240583147,162.38263804117838,1,1.0,0.023693412291122984,0.023693412291122984,9328.859304270853
171.52108764648438,174.6955950948926,170.89402610794616,173.91176443413826,73401800,172.8270002092634,162.7334009806315,1,1.0,-0.01894187900528188,-0.01894187900528188,9152.153180072057
168.35638427734375,170.11999949152553,166.69075350018778,168.87566890286308,89058800,172.29931422642298,163.1174763997396,1,1.0,-0.018450812157064234,-0.018450812157064234,8983.28852091387
168.66012573242188,169.85546417791434,166.41642550623965,167.69994098041755,77594700,171.34472438267298,163.42447560628256,1,1.0,0.0018041576289602457,0.0018041576289602457,8999.495789432027
166.6515655517578,168.30740398265033,165.7795578216243,168.30740398265033,76575500,170.26976449148995,163.59561208089193,1,1.0,-0.011908921400014982,-0.011908921400014982,8892.321501435916
162.39927673339844,165.61296861541499,162.1543306146452,165.29944535757966,72246700,169.02963256835938,163.6161875406901,1,1.0,-0.025516044834506646,-0.025516044834506646,8665.42462732243
164.27069091796875,166.43600652884118,163.2713064320056,164.62341397476007,79265200,168.09883989606584,163.76184946695963,1,1.0,0.01152353767955816,0.01152353767955816,8765.280974524752
166.9552764892578,167.58233798502656,163.39866884231074,164.00613046155772,70618900,166.9734867640904,163.88726094563802,1,1.0,0.016342450112598828,0.016342450112598828,8908.527141573833
