Close,High,Low,Open,Volume,MA_short,MA_long,signal,Signal,Position,Returns,Strategy_Returns,Equity
RBLX,RBLX,RBLX,RBLX,RBLX,,,,,,,,
58.84000015258789,59.10499954223633,57.02000045776367,58.5,4917300,,,0,,0.0,0.0,0.0,20000.0
60.470001220703125,61.0,59.130001068115234,59.130001068115234,4655100,,,0,,0.0,0.027702261452892563,0.0,20000.0
61.93000030517578,62.41999816894531,60.56999969482422,60.709999084472656,7279900,,,0,,0.0,0.02414418810980279,0.0,20000.0
61.29999923706055,62.47999954223633,59.959999084472656,62.40999984741211,5780800,,,0,,0.0,-0.010172792911525064,-0.0,20000.0
62.04999923706055,63.58000183105469,60.709999084472656,62.83000183105469,8283600,,,0,,0.0,0.012234910429600232,0.0,20000.0
61.81999969482422,62.20000076293945,60.13399887084961,61.36000061035156,6191000,,,0,,0.0,-0.0037066808229541115,-0.0,20000.0
61.369998931884766,61.41999816894531,59.38999938964844,60.56999969482422,7364100,61.11142839704241,,0,,0.0,-0.007279210047895335,-0.0,20000.0
62.2599983215332,62.97999954223633,61.33000183105469,62.14500045776367,7653500,61.5999995640346,,0,,0.0,0.014502190078840682,0.0,20000.0
63.7400016784668,64.43000030517578,62.790000915527344,63.51499938964844,6072600,62.067142486572266,,0,,0.0,0.02377133628064554,0.0,20000.0
65.26000213623047,66.51000213623047,64.30000305175781,64.52999877929688,9823900,62.54285703386579,,0,,0.0,0.023846884495410503,0.0,20000.0
65.52999877929688,66.44999694824219,65.12999725341797,66.27999877929688,5767000,63.147142682756694,,0,,0.0,0.004137245391178324,0.0,20000.0
66.0999984741211,66.86000061035156,65.62999725341797,66.37000274658203,5421100,63.72571400233677,,0,,0.0,0.00869830162432872,0.0,20000.0
66.0,66.8499984741211,65.20999908447266,66.5199966430664,5600400,64.32285690307617,,0,,0.0,-0.001512836254606631,-0.0,20000.0
67.11000061035156,67.31999969482422,64.0999984741211,64.7699966430664,6112500,65.14285714285714,,0,,0.0,0.016818191065932853,0.0,20000.0
67.06999969482422,67.43000030517578,66.5199966430664,67.19999694824219,3650600,65.83000019618443,,0,,0.0,-0.000596049994986525,-0.0,20000.0
67.16999816894531,67.86399841308594,63.880001068115234,64.31999969482422,5308600,66.31999969482422,,0,,0.0,0.001490956829821144,0.0,20000.0
68.43000030517578,69.12000274658203,66.91000366210938,67.46499633789062,5572100,66.77285657610211,,0,,0.0,0.01875840658892569,0.0,20000.0
70.08000183105469,70.68000030517578,68.05999755859375,68.8499984741211,6473000,67.42285701206752,,0,,0.0,0.024112253668280514,0.0,20000.0
71.37999725341797,71.76499938964844,69.5,70.05000305175781,11757600,68.17714255196708,,0,,0.0,0.01855016250566388,0.0,20000.0
71.06999969482422,71.88999938964844,70.25,71.5,10721100,68.90142822265625,,0,,0.0,-0.004342919172344306,-0.0,20000.0
70.68000030517578,71.69999694824219,69.62999725341797,69.62999725341797,7748300,69.41142817905971,,0,,0.0,-0.005487538923921509,-0.0,20000.0
73.79000091552734,73.86000061035156,71.30999755859375,71.94000244140625,9084000,70.37142835344586,,0,,0.0,0.044001140307349695,0.0,20000.0
75.47000122070312,75.73999786376953,73.47000122070312,74.20999908447266,13637900,71.55714307512555,,0,,0.0,0.022767316497244616,0.0,20000.0
67.12000274658203,67.86000061035156,60.0099983215332,60.1349983215332,52586500,71.37000056675502,,0,,0.0,-0.110639967391845,-0.0,20000.0
66.27999877929688,69.1500015258789,64.33499908447266,66.69000244140625,23985500,70.82714298793248,,0,,0.0,-0.012514957284144756,-0.0,20000.0
